Sat Aug 16 22:01:43 2025,jidfs,12.0
Sat Aug 16 22:03:07 2025,jisdf,12.0
Sat Aug 16 22:03:45 2025,fds,12.0
Sat Aug 16 22:03:59 2025,kofd,43.0
Sat Aug 16 22:04:39 2025,ofkds,21.0
Sat Aug 16 22:04:59 2025,njfds,12.0
Sat Aug 16 22:05:42 2025,fdsjifdfdmkomfd,12.0
Sat Aug 16 22:06:48 2025,jdifs,12.0
Sat Aug 16 22:16:33 2025,sjfdi,12.0
Sat Aug 16 22:16:45 2025,okjfds,12.0
Sat Aug 16 22:18:21 2025,ijsfd,12.0
Sat Aug 16 22:19:22 2025,dfsj,12.0
Sat Aug 16 22:19:45 2025,ijofds,12.0
Sat Aug 16 22:22:12 2025,fdsji,15353.0
Sun Aug 17 18:19:30 2025,jfiodas,13.0,Food
Sun Aug 17 18:20:08 2025,fdsoj,5523.0,transport
Sun Aug 17 22:09:29 2025,fs,441412412.0,Food
Sun Aug 17 22:09:58 2025,jisfd,0.2,transport
Sun Aug 17 22:10:25 2025,pkofsdkopfds,212121331.0,fsdfdsa
Sun Aug 17 22:12:29 2025,kofsd,12.0,sfdm
Sun Aug 17 22:21:30 2025,fdsfds,1221.0,food,12/12/1212
